Date,Difficulty
2018-02-21,3007383866429.0
2018-02-22,3007383866429.0
2018-02-23,3007383866429.0
2018-02-24,3007383866429.0
2018-02-25,3007383866429.0
2018-02-26,3007383866429.0
2018-02-27,3007383866429.0
2018-02-28,3007383866429.0
2018-03-01,3007383866429.0
2018-03-02,3007383866429.0
2018-03-03,3007383866429.0
2018-03-04,3007383866429.0
2018-03-05,3233581400367.21
2018-03-06,3233581400367.21
2018-03-07,3233581400367.21
2018-03-08,3233581400367.21
2018-03-09,3290605988755.0
2018-03-10,3290605988755.0
2018-03-11,3290605988755.0
2018-03-12,3290605988755.0
2018-03-13,3290605988755.0
2018-03-14,3290605988755.0
2018-03-15,3290605988755.0
2018-03-16,3290605988755.0
2018-03-17,3290605988755.0
2018-03-18,3290605988755.0
2018-03-19,3290605988755.0
2018-03-20,3290605988755.0
2018-03-21,3462542391191.0
2018-03-22,3462542391191.0
2018-03-23,3462542391191.0
2018-03-24,3462542391191.0
2018-03-25,3462542391191.0
2018-03-26,3462542391191.0
2018-03-27,3462542391191.0
2018-03-28,3462542391191.0
2018-03-29,3462542391191.0
2018-03-30,3462542391191.0
2018-03-31,3462542391191.0
2018-04-01,3462542391191.0
2018-04-02,3511060552899.0
2018-04-03,3511060552899.0
2018-04-04,3511060552899.0
2018-04-05,3511060552899.0
2018-04-06,3511060552899.0
2018-04-07,3511060552899.0
2018-04-08,3511060552899.0
2018-04-09,3511060552899.0
2018-04-10,3511060552899.0
2018-04-11,3511060552899.0
2018-04-12,3511060552899.0
2018-04-13,3511060552899.0
2018-04-14,3796188328004.62
2018-04-15,3796188328004.62
2018-04-16,3796188328004.62
2018-04-17,3796188328004.62
2018-04-18,3839316899029.0
2018-04-19,3839316899029.0
2018-04-20,3839316899029.0
2018-04-21,3839316899029.0
2018-04-22,3839316899029.0
2018-04-23,3839316899029.0
2018-04-24,3839316899029.0
2018-04-25,3839316899029.0
2018-04-26,3839316899029.0
2018-04-27,3839316899029.0
2018-04-28,3839316899029.0
2018-04-29,3839316899029.0
2018-04-30,4022059196164.0
2018-05-01,4022059196164.0
2018-05-02,4022059196164.0
2018-05-03,4022059196164.0
2018-05-04,4022059196164.0
2018-05-05,4022059196164.0
2018-05-06,4022059196164.0
2018-05-07,4022059196164.0
2018-05-08,4022059196164.0
2018-05-09,4022059196164.0
2018-05-10,4022059196164.0
2018-05-11,4022059196164.0
2018-05-12,4143878474754.0
2018-05-13,4143878474754.0
2018-05-14,4143878474754.0
2018-05-15,4143878474754.0
2018-05-16,4143878474754.0
2018-05-17,4143878474754.0
2018-05-18,4143878474754.0
2018-05-19,4143878474754.0
2018-05-20,4143878474754.0
2018-05-21,4143878474754.0
2018-05-22,4143878474754.0
2018-05-23,4143878474754.0
2018-05-24,4219142059012.62
2018-05-25,4219142059012.62
2018-05-26,4219142059012.62
2018-05-27,4219142059012.62
2018-05-28,4306949573981.0
2018-05-29,4306949573981.0
2018-05-30,4306949573981.0
2018-05-31,4306949573981.0
2018-06-01,4306949573981.0
2018-06-02,4306949573981.0
2018-06-03,4306949573981.0
2018-06-04,4306949573981.0
2018-06-05,4415593341673.57
2018-06-06,4415593341673.57
2018-06-07,4415593341673.57
2018-06-08,4415593341673.57
2018-06-09,4940704885521.0
2018-06-10,4940704885521.0
2018-06-11,4940704885521.0
2018-06-12,4940704885521.0
2018-06-13,4940704885521.0
2018-06-14,4940704885521.0
2018-06-15,4940704885521.0
2018-06-16,4940704885521.0
2018-06-17,4940704885521.0
2018-06-18,4940704885521.0
2018-06-19,4940704885521.0
2018-06-20,4940704885521.0
2018-06-21,5077499034879.0
2018-06-22,5077499034879.0
2018-06-23,5077499034879.0
2018-06-24,5077499034879.0
2018-06-25,5077499034879.0
2018-06-26,5077499034879.0
2018-06-27,5077499034879.0
2018-06-28,5077499034879.0
2018-06-29,5077499034879.0
2018-06-30,5077499034879.0
2018-07-01,5077499034879.0
2018-07-02,5077499034879.0
2018-07-03,5363678461481.0
2018-07-04,5363678461481.0
2018-07-05,5363678461481.0
2018-07-06,5363678461481.0
2018-07-07,5363678461481.0
2018-07-08,5363678461481.0
2018-07-09,5363678461481.0
2018-07-10,5363678461481.0
2018-07-11,5363678461481.0
2018-07-12,5363678461481.0
2018-07-13,5363678461481.0
2018-07-14,5363678461481.0
2018-07-15,5363678461481.0
2018-07-16,5363678461481.0
2018-07-17,5363678461481.0
2018-07-18,5363678461481.0
2018-07-19,5178671069072.0
2018-07-20,5178671069072.0
2018-07-21,5178671069072.0
2018-07-22,5178671069072.0
2018-07-23,5178671069072.0
2018-07-24,5178671069072.0
2018-07-25,5178671069072.0
2018-07-26,5178671069072.0
2018-07-27,5178671069072.0
2018-07-28,5178671069072.0
2018-07-29,5178671069072.0
2018-07-30,5178671069072.0
2018-07-31,5949437371609.0
2018-08-01,5949437371609.0
2018-08-02,5949437371609.0
2018-08-03,5949437371609.0
2018-08-04,5949437371610.0
2018-08-05,5949437371610.0
2018-08-06,5949437371610.0
2018-08-07,5949437371610.0
2018-08-08,5949437371610.0
2018-08-09,5949437371610.0
2018-08-10,5949437371610.0
2018-08-11,5949437371610.0
2018-08-12,6389316883512.0
2018-08-13,6389316883512.0
2018-08-14,6389316883512.0
2018-08-15,6389316883512.0
2018-08-16,6389316883512.0
2018-08-17,6389316883512.0
2018-08-18,6389316883512.0
2018-08-19,6389316883512.0
2018-08-20,6389316883512.0
2018-08-21,6389316883512.0
2018-08-22,6389316883512.0
2018-08-23,6389316883512.0
2018-08-24,6505039002077.41
2018-08-25,6505039002077.41
2018-08-26,6505039002077.41
2018-08-27,6505039002077.41
2018-08-28,6727225469723.0
2018-08-29,6727225469723.0
2018-08-30,6727225469723.0
2018-08-31,6727225469723.0
2018-09-01,6727225469723.0
2018-09-02,6727225469723.0
2018-09-03,6727225469723.0
2018-09-04,6727225469723.0
2018-09-05,6727225469723.0
2018-09-06,6727225469723.0
2018-09-07,6727225469723.0
2018-09-08,6727225469723.0
2018-09-09,7019199231177.0
2018-09-10,7019199231177.0
2018-09-11,7019199231177.0
2018-09-12,7019199231177.0
2018-09-13,7019199231177.0
2018-09-14,7019199231177.0
2018-09-15,7019199231177.0
2018-09-16,7019199231177.0
2018-09-17,7019199231177.0
2018-09-18,7019199231177.0
2018-09-19,7019199231177.0
2018-09-20,7019199231177.0
2018-09-21,7152633351906.0
2018-09-22,7152633351906.0
2018-09-23,7152633351906.0
2018-09-24,7152633351906.0
2018-09-25,7152633351906.0
2018-09-26,7152633351906.0
2018-09-27,7152633351906.0
2018-09-28,7152633351906.0
2018-09-29,7152633351906.0
2018-09-30,7152633351906.0
2018-10-01,7152633351906.0
2018-10-02,7152633351906.0
2018-10-03,7152633351906.0
2018-10-04,7152633351906.0
2018-10-05,7152633351906.0
2018-10-06,7152633351906.0
2018-10-07,7454968648263.0
2018-10-08,7454968648263.0
2018-10-09,7454968648263.0
2018-10-10,7454968648263.0
2018-10-11,7454968648263.0
2018-10-12,7454968648263.0
2018-10-13,7454968648263.0
2018-10-14,7454968648263.0
2018-10-15,7454968648263.0
2018-10-16,7454968648263.0
2018-10-17,7454968648263.0
2018-10-18,7454968648263.0
2018-10-19,7182852313938.0
2018-10-20,7182852313938.0
2018-10-21,7182852313938.0
2018-10-22,7182852313938.0
2018-10-23,7182852313938.0
2018-10-24,7182852313938.0
2018-10-25,7182852313938.0
2018-10-26,7182852313938.0
2018-10-27,7182852313938.0
2018-10-28,7182852313938.0
2018-10-29,7182852313938.0
2018-10-30,7182852313938.0
2018-10-31,7182852313938.0
2018-11-01,7182852313938.0
2018-11-02,7182852313938.0
2018-11-03,7182852313938.0
2018-11-04,7184404942702.0
2018-11-05,7184404942702.0
2018-11-06,7184404942702.0
2018-11-07,7184404942702.0
2018-11-08,7184404942702.0
2018-11-09,7184404942702.0
2018-11-10,7184404942702.0
2018-11-11,7184404942702.0
2018-11-12,7184404942702.0
2018-11-13,7184404942702.0
2018-11-14,7184404942702.0
2018-11-15,7184404942702.0
2018-11-16,7175974755379.84
2018-11-17,7175974755379.84
2018-11-18,7175974755379.84
2018-11-19,7175974755379.84
2018-11-20,6653303141406.0
2018-11-21,6653303141406.0
2018-11-22,6653303141406.0
2018-11-23,6653303141406.0
2018-11-24,6653303141406.0
2018-11-25,6653303141406.0
2018-11-26,6653303141406.0
2018-11-27,6653303141406.0
2018-11-28,6653303141406.0
2018-11-29,6653303141406.0
2018-11-30,6653303141406.0
2018-12-01,6653303141406.0
2018-12-02,6653303141406.0
2018-12-03,6653303141406.0
2018-12-04,6653303141406.0
2018-12-05,6653303141406.0
2018-12-06,5646403851535.0
2018-12-07,5646403851535.0
2018-12-08,5646403851535.0
2018-12-09,5646403851535.0
2018-12-10,5646403851535.0
2018-12-11,5646403851535.0
2018-12-12,5646403851535.0
2018-12-13,5646403851535.0
2018-12-14,5646403851535.0
2018-12-15,5646403851535.0
2018-12-16,5646403851535.0
2018-12-17,5646403851535.0
2018-12-18,5621092245587.73
2018-12-19,5621092245587.73
2018-12-20,5621092245587.73
2018-12-21,5621092245587.73
2018-12-22,5106422924660.0
2018-12-23,5106422924660.0
2018-12-24,5106422924660.0
2018-12-25,5106422924660.0
2018-12-26,5106422924660.0
2018-12-27,5106422924660.0
2018-12-28,5106422924660.0
2018-12-29,5106422924660.0
2018-12-30,5106422924660.0
2018-12-31,5106422924660.0
2019-01-01,5106422924660.0
2019-01-02,5106422924660.0
2019-01-03,5618595848853.0
2019-01-04,5618595848853.0
2019-01-05,5618595848853.0
2019-01-06,5618595848853.0
2019-01-07,5618595848853.0
2019-01-08,5618595848853.0
2019-01-09,5618595848853.0
2019-01-10,5618595848853.0
2019-01-11,5618595848853.0
2019-01-12,5618595848853.0
2019-01-13,5618595848853.0
2019-01-14,5618595848853.0
2019-01-15,5883988430955.0
2019-01-16,5883988430955.0
2019-01-17,5883988430955.0
2019-01-18,5883988430955.0
2019-01-19,5883988430955.0
2019-01-20,5883988430955.0
2019-01-21,5883988430955.0
2019-01-22,5883988430955.0
2019-01-23,5883988430955.0
2019-01-24,5883988430955.0
2019-01-25,5883988430955.0
2019-01-26,5883988430955.0
2019-01-27,5883988430955.0
2019-01-28,5883988430955.0
2019-01-29,5883988430955.0
2019-01-30,5883988430955.0
2019-01-31,5814661935892.0
2019-02-01,5814661935892.0
2019-02-02,5814661935892.0
2019-02-03,5814661935892.0
2019-02-04,5814661935892.0
2019-02-05,5814661935892.0
2019-02-06,5814661935892.0
2019-02-07,5814661935892.0
2019-02-08,5814661935892.0
2019-02-09,5814661935892.0
2019-02-10,5814661935892.0
2019-02-11,5814661935892.0
2019-02-12,6061518831027.0
2019-02-13,6061518831027.0
2019-02-14,6061518831027.0
2019-02-15,6061518831027.0
2019-02-16,6061518831027.0
2019-02-17,6061518831027.0
2019-02-18,6061518831027.0
2019-02-19,6061518831027.0
2019-02-20,6061518831027.0
2019-02-21,6061518831027.0
2019-02-22,6061518831027.0
2019-02-23,6061518831027.0
2019-02-24,6064081790460.55
2019-02-25,6064081790460.55
2019-02-26,6064081790460.55
2019-02-27,6064081790460.55
2019-02-28,6071846049921.0
2019-03-01,6071846049921.0
2019-03-02,6071846049921.0
2019-03-03,6071846049921.0
2019-03-04,6071846049921.0
2019-03-05,6071846049921.0
2019-03-06,6071846049921.0
2019-03-07,6071846049921.0
2019-03-08,6071846049921.0
2019-03-09,6071846049921.0
2019-03-10,6071846049921.0
2019-03-11,6071846049921.0
2019-03-12,6068891541677.0
2019-03-13,6068891541677.0
2019-03-14,6068891541677.0
2019-03-15,6068891541677.0
2019-03-16,6068891541677.0
2019-03-17,6068891541677.0
2019-03-18,6068891541677.0
2019-03-19,6068891541677.0
2019-03-20,6068891541677.0
2019-03-21,6068891541677.0
2019-03-22,6068891541677.0
2019-03-23,6068891541677.0
2019-03-24,6368919654419.87
2019-03-25,6368919654419.87
2019-03-26,6368919654419.87
2019-03-27,6368919654419.87
2019-03-28,6379265451411.0
2019-03-29,6379265451411.0
2019-03-30,6379265451411.0
2019-03-31,6379265451411.0
2019-04-01,6379265451411.0
2019-04-02,6379265451411.0
2019-04-03,6379265451411.0
2019-04-04,6379265451411.0
2019-04-05,6379265451411.0
2019-04-06,6379265451411.0
2019-04-07,6379265451411.0
2019-04-08,6379265451411.0
2019-04-09,6393023717202.0
2019-04-10,6393023717202.0
2019-04-11,6393023717202.0
2019-04-12,6393023717202.0
2019-04-13,6393023717202.0
2019-04-14,6393023717202.0
2019-04-15,6393023717202.0
2019-04-16,6393023717202.0
2019-04-17,6393023717202.0
2019-04-18,6393023717202.0
2019-04-19,6393023717202.0
2019-04-20,6393023717202.0
2019-04-21,6357721118108.33
2019-04-22,6357721118108.33
2019-04-23,6357721118108.33
2019-04-24,6357721118108.33
2019-04-25,6353030562984.0
2019-04-26,6353030562984.0
2019-04-27,6353030562984.0
2019-04-28,6353030562984.0
2019-04-29,6353030562984.0
2019-04-30,6353030562984.0
2019-05-01,6353030562984.0
2019-05-02,6353030562984.0
2019-05-03,6353030562984.0
2019-05-04,6353030562984.0
2019-05-05,6353030562984.0
2019-05-06,6353030562984.0
2019-05-07,6702169884349.0
2019-05-08,6702169884349.0
2019-05-09,6702169884349.0
2019-05-10,6702169884349.0
2019-05-11,6702169884349.0
2019-05-12,6702169884349.0
2019-05-13,6702169884349.0
2019-05-14,6702169884349.0
2019-05-15,6702169884349.0
2019-05-16,6702169884349.0
2019-05-17,6702169884349.0
2019-05-18,6702169884349.0
2019-05-19,6704632680587.0
2019-05-20,6704632680587.0
2019-05-21,6704632680587.0
2019-05-22,6704632680587.0
2019-05-23,6704632680587.0
2019-05-24,6704632680587.0
2019-05-25,6704632680587.0
2019-05-26,6704632680587.0
2019-05-27,6704632680587.0
2019-05-28,6704632680587.0
2019-05-29,6704632680587.0
2019-05-30,6704632680587.0
2019-05-31,7459680720542.0
2019-06-01,7459680720542.0
2019-06-02,7459680720542.0
2019-06-03,7459680720542.0
2019-06-04,7459680720542.0
2019-06-05,7459680720542.0
2019-06-06,7459680720542.0
2019-06-07,7459680720542.0
2019-06-08,7459680720542.0
2019-06-09,7459680720542.0
2019-06-10,7459680720542.0
2019-06-11,7459680720542.0
2019-06-12,7459680720542.0
2019-06-13,7459680720542.0
2019-06-14,7459680720542.0
2019-06-15,7459680720542.0
2019-06-16,7409399249090.0
2019-06-17,7409399249090.0
2019-06-18,7409399249090.0
2019-06-19,7409399249090.0
2019-06-20,7409399249090.0
2019-06-21,7409399249090.0
2019-06-22,7409399249090.0
2019-06-23,7409399249090.0
2019-06-24,7409399249090.0
2019-06-25,7409399249090.0
2019-06-26,7409399249090.0
2019-06-27,7409399249090.0
2019-06-28,7934713219631.0
2019-06-29,7934713219631.0
2019-06-30,7934713219631.0
2019-07-01,7934713219631.0
2019-07-02,7934713219631.0
2019-07-03,7934713219631.0
2019-07-04,7934713219631.0
2019-07-05,7934713219631.0
2019-07-06,7934713219631.0
2019-07-07,7934713219631.0
2019-07-08,7934713219631.0
2019-07-09,7934713219631.0
2019-07-10,9064159826491.0
2019-07-11,9064159826491.0
2019-07-12,9064159826491.0
2019-07-13,9064159826491.0
